ano,sigla_uf,tipo_consumo,consumo
2005,AL,Industrial,1892728.8199999998
2005,AL,Outros,623391.29
2005,AL,Residencial,686786.8
2005,AL,Total,3639847.47
2005,AM,Cativo,3744631.46
2005,AM,Comercial,676706.75
2005,AM,Industrial,1413683.57
2005,AM,Outros,657422.65
2005,AM,Residencial,996818.67
2005,AM,Total,3744631.64
2005,AP,Cativo,563908.5
2005,AP,Comercial,114002.62
2005,AP,Industrial,32421.28
2005,AP,Outros,151421.75
2005,AP,Residencial,266062.85
2005,AP,Total,563908.5
2005,BA,Cativo,16249155.28
2005,BA,Comercial,2116590.4
2005,BA,Industrial,9639908.94
2005,BA,Outros,2667730.31
2005,BA,Residencial,3505549.61
2005,BA,Total,17929779.259999998
2005,CE,Cativo,6504397.3
2005,CE,Comercial,1205703.15
2005,CE,Industrial,1949812.6
2005,CE,Outros,1490660.03
2005,CE,Residencial,2177511.2
2005,CE,Total,6823686.98
2005,DF,Cativo,3803319.0
2005,DF,Comercial,1174348.0
2005,DF,Industrial,431544.47
2005,DF,Outros,989412.0
2005,DF,Residencial,1507609.0
2005,DF,Total,4102913.47
2005,ES,Cativo,5408586.83
2005,ES,Comercial,1058796.54
2005,ES,Industrial,4179524.23
2005,ES,Outros,968903.02
2005,ES,Residencial,1399032.57
2005,ES,Total,7606256.36
2005,GO,Cativo,7952103.762
2005,GO,Comercial,1212189.67
2005,GO,Industrial,2859429.4
2005,GO,Outros,1906945.2
2005,GO,Residencial,2493585.89
2005,GO,Total,8472150.16
2005,MA,Cativo,3129462.9
2005,MA,Comercial,552358.31
2005,MA,Industrial,6869387.68
2005,MA,Outros,671490.24
2005,MA,Residencial,1127169.92
2005,MA,Total,9220406.15
2005,MG,Cativo,21737146.2
2005,MG,Comercial,3973790.92
2005,MG,Industrial,30106627.97
2005,MG,Outros,4865875.69
2005,MG,Residencial,7046297.3
2005,MG,Total,45992591.88
2005,MS,Cativo,2903138.5899
2005,MS,Comercial,627014.64
2005,MS,Industrial,890115.949
2005,MS,Outros,842282.55
2005,MS,Residencial,987509.52
2005,MS,Total,3346922.659
2005,MT,Cativo,4009490.43
2005,MT,Comercial,906503.62
2005,MT,Industrial,1162068.29
2005,MT,Outros,952167.49
2005,MT,Residencial,1300303.96
2005,MT,Total,4321043.36
2005,PA,Cativo,6123017.5
2005,PA,Comercial,1017280.55
2005,PA,Industrial,9390172.22
2005,PA,Outros,862249.99
2005,PA,Residencial,1778064.1199999999
2005,PA,Total,13047766.88
2005,PB,Cativo,2705644.73
2005,PB,Comercial,442731.93
2005,PB,Industrial,1091125.19
2005,PB,Outros,662931.32
2005,PB,Residencial,904035.01
2005,PB,Total,3100823.45
2005,PE,Cativo,8049582.8298
2005,PE,Comercial,1619646.53
2005,PE,Industrial,2311204.14
2005,PE,Outros,1771692.56
2005,PE,Residencial,2795450.83
2005,PE,Total,8497994.06
2005,PI,Cativo,1595526.0
2005,PI,Comercial,311851.0
2005,PI,Industrial,206179.0
2005,PI,Outros,432993.0
2005,PI,Residencial,662655.0
2005,PI,Total,1613678.0
2005,PR,Cativo,17828324.69
2005,PR,Comercial,3304480.56
2005,PR,Industrial,9097181.93
2005,PR,Outros,3279876.4699999997
2005,PR,Residencial,4794200.09
2005,PR,Total,20475739.05
2005,RJ,Cativo,26898378.5
2005,RJ,Comercial,7240705.1
2005,RJ,Industrial,9378177.76
2005,RJ,Outros,5186462.84
2005,RJ,Residencial,10422326.4
2005,RJ,Total,32227672.1
2005,RN,Cativo,3181805.2
2005,RN,Comercial,588244.3
2005,RN,Industrial,1114919.02
2005,RN,Outros,853455.1
2005,RN,Residencial,978717.74
2005,RN,Total,3535336.16
2005,RO,Cativo,1439326.0
2005,RO,Comercial,328365.0
2005,RO,Industrial,238171.0
2005,RO,Outros,344412.0
2005,RO,Residencial,528378.0
2005,RO,Total,1439326.0
2005,RR,Cativo,379556.89
2005,RR,Comercial,78342.42
2005,RR,Industrial,13052.630000000001
2005,RR,Outros,111580.32
2005,RR,Residencial,176581.52
2005,RR,Total,379556.89
2005,RS,Cativo,20343693.97
2005,RS,Comercial,3385286.87
2005,RS,Industrial,8889817.02
2005,RS,Outros,4457523.01
2005,RS,Residencial,5511318.62
2005,RS,Total,22243945.52
2005,SC,Cativo,13926896.35
2005,SC,Comercial,2100276.42
2005,SC,Industrial,7184961.470000001
2005,SC,Outros,2513231.32
2005,SC,Residencial,3373073.94
2005,SC,Total,15171543.15
2005,SE,Cativo,2053901.5
2005,SE,Comercial,315333.77999999997
2005,SE,Industrial,1233395.49
2005,SE,Outros,439265.72000000003
2005,SE,Residencial,554704.11
2005,SE,Total,2542699.1
2005,SP,Cativo,79541678.95
2005,SP,Comercial,17950491.73
2005,SP,Industrial,47953062.93
2005,SP,Outros,11879650.8
2005,SP,Residencial,26123512.92
2005,SP,Total,103906718.38
2005,TO,Cativo,931944.58
2005,TO,Comercial,197093.63
2005,TO,Industrial,108262.86
2005,TO,Outros,282238.74
2005,TO,Residencial,344349.33
2005,TO,Total,931944.56
2006,AC,Cativo,504766.8
2006,AC,Comercial,109330.65
2006,AC,Industrial,26255.92
2006,AC,Outros,148700.1
2006,AC,Residencial,220480.13
2006,AC,Total,504766.8
2006,AL,Cativo,3285965.8
2006,AL,Comercial,411788.03
2006,AL,Industrial,1865882.1
2006,AL,Outros,629371.94
2006,AL,Residencial,695168.73
2006,AL,Total,3602210.8
2006,AM,Cativo,3924445.43
2006,AM,Comercial,698600.77
2006,AM,Industrial,1533970.55
2006,AM,Outros,692408.69
2006,AM,Residencial,999465.02
2006,AM,Total,3924445.0300000003
