ano,uf,consumo_energia
2012,PE,22107146.0
2012,PI,5468624.0
2012,PR,51639707.4
2012,RJ,68580353.0
2012,RN,9043255.0
2012,RO,5652296.0
2012,RR,1323850.0
2012,RS,51815476.0
2012,SC,38122350.0
2012,SE,6093715.0
2012,SP,228155901.0
2012,TO,3181397.0
2013,AC,1677801.26
2013,AL,9378020.0
2013,AM,11932446.0
2013,AP,1921792.0
2013,BA,43754524.0
2013,CE,20281854.0
2013,DF,12498626.0
2013,ES,16989662.0
2013,GO,24720454.0
2013,MA,16214829.0
2013,MG,81462863.0
2013,MS,9505194.0
2013,MT,13622721.0
2013,PA,23814703.0
2013,PB,9027968.0
2013,PE,23846822.0
2013,PI,5699315.0
2013,PR,52591647.0
2013,RJ,70962150.0
2013,RN,9638791.0
2013,RO,5754999.0
2013,RR,1410234.0
2013,RS,52558828.0
2013,SC,39125065.0
2013,SE,6413015.0
2013,SP,231494377.0
2013,TO,3583519.0
2014,AC,1761887.0
2014,AL,9691151.0
2014,AM,12550450.0
2014,AP,2029242.0
2014,BA,46231717.0
2014,CE,21438156.0
2014,DF,12937834.0
2014,ES,17773743.0
2014,GO,25908290.0
2014,MA,14290576.0
2014,MG,83200529.0
2014,MS,10089983.0
2014,MT,14705847.0
2014,PA,26070149.0
2014,PB,9517623.88
2014,PE,24909275.01
2014,PI,6090833.0
2014,PR,55438173.0
2014,RJ,74245268.0
2014,RN,10086560.0
2014,RO,6026304.0
2014,RR,1603328.0
2014,RS,55844527.0
2014,SC,41729392.0
2014,SE,6574483.0
2014,SP,234396691.0
2014,TO,3845260.0
2015,AC,1935515.0
2015,AL,9534015.0
2015,AM,12714432.0
2015,AP,2111442.0
2015,BA,45347922.19
2015,CE,21425811.0
2015,DF,12734444.0
2015,ES,18053697.0
2015,GO,26863984.53
2015,MA,12880676.0
2015,MG,81271618.09
2015,MS,10091452.0
2015,MT,14990451.0
2015,PA,27643687.78
2015,PB,9524969.0
2015,PE,25622646.53
2015,PI,6525954.0
2015,PR,54723517.65
2015,RJ,74483472.24
2015,RN,10189229.0
2015,RO,6038409.0
2015,RR,1766062.98
2015,RS,53120078.64
2015,SC,40489728.0
2015,SE,6582782.0
2015,SP,225098248.12
2015,TO,4095173.0
2016,AC,2008408.0
2016,AL,9439313.0
2016,AM,11777584.0
2016,AP,2228792.0
2016,BA,44685182.24
2016,CE,22090810.0
2016,DF,12559250.0
2016,ES,16497326.0
2016,GO,26712746.07
2016,MA,12845969.0
2016,MG,81852264.0
2016,MS,9799710.0
2016,MT,14732465.0
2016,PA,28351129.2
2016,PB,9408731.0
2016,PE,25502426.08
2016,PI,6716153.0
2016,PR,52656045.24
2016,RJ,71750500.94
2016,RN,10344062.0
2016,RO,5845386.0
2016,RR,1830200.0
2016,RS,52894276.01
2016,SC,39766034.0
2016,SE,6506428.0
2016,SP,216298124.0
2016,TO,4292164.0
2017,AC,2113057.0
2017,AL,9330774.0
2017,AM,10552201.0
2017,AP,2146190.0
2017,BA,44273230.93
2017,CE,20931328.3
2017,DF,11914961.0
2017,ES,15993034.0
2017,GO,26217813.27
2017,MA,12790694.0
2017,MG,81074802.02
2017,MS,10132499.0
2017,MT,15563356.0
2017,PA,28184990.0
2017,PB,9360222.0
2017,PE,25091220.13
2017,PI,6897211.0
2017,PR,51245577.47
2017,RJ,68091305.23
2017,RN,10280195.0
2017,RO,5999099.0
2017,RR,1835626.0
2017,RS,52090799.2
2017,SC,40185350.0
2017,SE,6275968.0
2017,SP,214349572.0
2017,TO,4312188.0
2018,AC,1921530.08
2018,AL,7924962.22
2018,AM,10530025.32
2018,AP,2107356.43
2018,BA,41699433.33
2018,CE,20842490.72
2018,DF,11805562.28
2018,ES,16507286.0
2018,GO,27147207.0
2018,MA,12946613.03
2018,MG,83553533.261
2018,MS,10394088.681
2018,MT,15975291.64
2018,PA,25685569.99
2018,PB,9634295.73
2018,PE,25003579.25
2018,PI,6730408.85
2018,PR,52200738.078999996
2018,RJ,68524368.14
2018,RN,10359341.0
2018,RO,6125804.03
2018,RR,1890876.93
2018,RS,52875948.79
2018,SC,40948475.22
2018,SE,6446245.66
2018,SP,217030023.8
2018,TO,4404286.78
2019,AC,2122438.94
2019,AL,7336469.9
2019,AM,10769605.0
2019,AP,2148411.48
2019,BA,43170147.71
2019,CE,22211065.59
2019,DF,11880441.0
2019,ES,17159552.71
2019,GO,27864099.36
2019,MA,13457658.94
2019,MG,83258183.02
2019,MS,11026918.43
2019,MT,17101126.94
2019,PA,25692902.5
2019,PB,9910365.61
2019,PE,25592888.87
2019,PI,7231816.88
2019,PR,53538768.133
2019,RJ,67648345.75
2019,RN,10500059.0
2019,RO,6301258.96
2019,RR,1864179.6099999999
2019,RS,52483908.896
2019,SC,42662170.45
2019,SE,6485542.829
2019,SP,217288223.33
2019,TO,4594226.08
2020,AC,2159719.94
2020,AL,7194349.59
2020,AM,10857582.55
2020,AP,2037635.89
2020,BA,40588635.33
2020,CE,21636247.27
2020,DF,11462898.0
2020,ES,16189907.84
2020,GO,27890573.177
2020,MA,13782795.9
2020,MG,82235234.66
2020,MS,11119570.961
2020,MT,17585277.179899998
2020,PA,27150551.599999998
2020,PB,9893947.68
2020,PE,24492297.08
2020,PI,7220457.6
2020,PR,52068125.2261
2020,RJ,64756643.66
2020,RN,10143673.0
2020,RO,6555335.99
2020,RR,1950609.51
2020,RS,50631096.012
2020,SC,42681761.84
2020,SE,6312294.409
2020,SP,209610076.92
2020,TO,4611914.18
2021,AC,2135437.95
2021,AL,8044726.53
2021,AM,10729320.02
2021,AP,2279234.83
2021,BA,42675296.86
2021,CE,22935609.6
2021,DF,11792753.19
2021,ES,16765608.1
2021,GO,28721307.25
2021,MA,14437873.92
2021,MG,85180171.131
2021,MS,10996138.209
2021,MT,17284121.06
2021,PA,29119084.05
2021,PB,10256411.87
2021,PE,25849514.71
2021,PI,7622307.0
2021,PR,54680213.805
2021,RJ,63729874.49
2021,RN,10652813.0
2021,RO,6476380.05
2021,RR,2146454.58
2021,RS,50203741.45
2021,SC,44846253.01
2021,SE,6545423.24
2021,SP,218236013.2
2021,TO,4640856.47
