ano,uf,consumo_energia,soma_produto_interno_bruto,soma_produto_interno_bruto_per_capita,sigla_uf,highest_tipo_consumo
2007,PA,21251776.0,51846874.0,765867.5800000007,PA,Industrial
2007,PB,6262220.0,22909807.0,889258.6499999996,PB,Industrial
2007,PE,17768345.0,62459325.0,818547.3499999997,PE,Residencial
2007,PI,3480252.0,13736088.0,654359.3500000008,PI,Residencial
2007,PR,41332128.0,165208891.0,4531040.539999999,PR,Industrial
2007,RJ,59557254.0,323698284.0,1996452.76,RJ,Residencial
2007,RN,7312317.0,26318261.0,984947.31,RN,Industrial
2007,RO,3267610.0,14438378.0,421969.2700000001,RO,Residencial
2007,RR,850588.0,4203303.0,111115.25,RR,Residencial
2007,RS,44541417.0,168009754.0,6710731.700000004,RS,Industrial
2007,SC,30735104.0,103728095.0,4071117.420000003,SC,Industrial
2007,SE,4585742.0,18218448.0,625124.9800000001,SE,Industrial
2007,SP,197250910.0,935653183.0,9673737.150000008,SP,Industrial
2007,TO,2111116.0,10192840.0,912814.4099999996,TO,Residencial
2008,AC,1165206.0,6410256.0,145914.47999999998,AC,Residencial
2008,AL,7627374.0,22262296.0,540188.5200000001,AL,Industrial
2008,AM,8711926.0,48115262.0,282418.22,AM,Industrial
2008,AP,1334886.0,6950413.0,143337.85,AP,Residencial
2008,BA,39523528.0,121667451.0,2344624.4,BA,Industrial
2008,CE,14570662.0,60415575.0,789739.7600000004,CE,Residencial
2008,DF,9476022.0,110299557.0,43133.65,DF,Residencial
2008,ES,13730630.0,72091161.0,1178290.8199999998,ES,Industrial
2008,GO,18682223.0,82417571.0,3088209.850000001,GO,Industrial
2008,MA,14729837.88,37932400.0,912287.3600000002,MA,Industrial
2008,MG,72801738.0,278607621.0,7572736.180000006,MG,Industrial
2008,MS,6778345.0,36219258.0,1234405.8299999998,MS,Industrial
2008,MT,9976983.0,49202503.0,2224716.45,MT,Industrial
2008,PA,22149660.0,60956984.0,847876.6900000002,PA,Industrial
2008,PB,6692635.0,26889570.0,1020125.14,PB,Industrial
2008,PE,19069837.0,70413939.0,903431.52,PE,Residencial
2008,PI,3686030.0,16203336.0,796013.7399999999,PI,Residencial
2008,PR,43727652.0,185683865.0,5159050.01,PR,Industrial
2008,RJ,60631473.0,378285801.0,2395218.6299999994,RJ,Residencial
2008,RN,7809599.0,28898860.0,1044876.5699999998,RN,Industrial
2008,RO,3499704.0,17285543.0,503313.07,RO,Residencial
2008,RR,899996.0,4841864.0,122821.08999999998,RR,Residencial
2008,RS,46405395.0,190229820.0,7539889.160000002,RS,Industrial
2008,SC,32244517.0,121477256.0,4710363.83,SC,Industrial
2008,SE,4912801.0,21418376.0,762086.9999999998,SE,Industrial
2008,SP,204571291.0,1042510170.0,9982313.569999993,SP,Industrial
2008,TO,2272514.0,12116395.0,1065599.9499999995,TO,Residencial
2009,AC,1240248.0,7407821.0,160315.14999999997,AC,Residencial
2009,AL,7400929.0,24182389.0,560485.6199999999,AL,Industrial
2009,AM,8723512.0,50559841.0,292883.01,AM,Industrial
2009,AP,1416514.0,7490654.0,148793.28,AP,Residencial
2009,BA,39096117.0,137942482.0,2537725.4700000016,BA,Industrial
2009,CE,15200897.0,67199960.0,838029.5199999994,CE,Residencial
2009,DF,10284212.0,124323753.0,47690.54,DF,Residencial
2009,ES,13234423.0,69215362.0,1103760.3500000003,ES,Industrial
2009,GO,19290702.8,92865740.0,3484540.030000001,GO,Industrial
2009,MA,14597131.0,40994571.0,963109.6600000004,MA,Industrial
2009,MG,69292013.0,287443855.0,7647811.840000004,MG,Industrial
2009,MS,7189917.0,39517745.0,1307108.2399999995,MS,Residencial
2009,MT,10524639.7,52693413.0,2291855.99,MT,Industrial
2009,PA,21863388.0,61665093.0,853747.3000000002,PA,Industrial
2009,PB,6885446.0,30230409.0,1124475.4200000002,PB,Industrial
2009,PE,19860732.0,79760953.0,1016095.1000000004,PE,Residencial
2009,PI,3806453.0,18946445.0,897215.2599999994,PI,Residencial
2009,PR,44653129.0,196675610.0,5219985.819999997,PR,Industrial
2009,RJ,60930471.7,391650859.0,2153450.87,RJ,Residencial
2009,RN,8211407.0,30941054.0,1050914.7799999998,RN,Residencial
2009,RO,3827510.0,19725009.0,541883.08,RO,Residencial
2009,RR,982506.0,5671975.0,136945.46,RR,Residencial
2009,RS,46053526.0,204344950.0,7821645.410000004,RS,Industrial
2009,SC,32212463.0,129098538.0,5008338.79,SC,Industrial
2009,SE,5237700.0,21707244.0,727173.2800000001,SE,Industrial
2009,SP,205145996.0,1127093821.0,11237528.090000004,SP,Industrial
2009,TO,2438916.0,13689810.0,1217975.2800000005,TO,Residencial
2010,AC,1343916.72,8342356.0,183570.99,AC,Residencial
2010,AL,7861050.0,27133035.0,610030.89,AL,Industrial
2010,AM,9630478.0,60877125.0,358896.8399999999,AM,Industrial
2010,AP,1571748.0,8237794.0,162177.90000000002,AP,Residencial
2010,BA,41588384.0,154419544.0,2914807.9600000023,BA,Industrial
2010,CE,17020873.0,79336306.0,990756.8799999997,CE,Residencial
2010,DF,10987269.0,144174102.0,56252.9,DF,Residencial
2010,ES,15022602.0,85310281.0,1505207.64,ES,Industrial
2010,GO,20542316.0,106770107.0,3913607.6200000006,GO,Residencial
2010,MA,16129995.0,46309630.0,986381.6900000002,MA,Industrial
2010,MG,76288809.0,351123420.0,9610649.31,MG,Industrial
2010,MS,7668058.0,47270652.0,1553416.7999999998,MS,Residencial
2010,MT,10894405.0,56600957.0,2308241.1699999985,MT,Residencial
2010,PA,23601062.0,82684518.0,1103393.7600000002,PA,Industrial
2010,PB,7764173.0,33522490.0,1241073.8199999994,PB,Industrial
2010,PE,21198030.0,97189752.0,1222282.88,PE,Residencial
2010,PI,4451328.0,22269147.0,1015584.1700000004,PI,Residencial
2010,PR,47401919.0,225205247.0,6015933.23,PR,Industrial
2010,RJ,64343635.0,449858101.0,2562101.2499999986,RJ,Residencial
2010,RN,8365333.0,36184501.0,1208142.11,RN,Residencial
2010,RO,4369162.0,23907884.0,616767.2900000002,RO,Residencial
2010,RR,1085392.0,6639150.0,143732.65,RR,Residencial
2010,RS,49068284.71,241249165.0,9459951.88,RS,Industrial
2010,SC,33561393.34,153726009.0,5742000.229999996,SC,Industrial
2010,SE,5568317.65,26404894.0,828733.2800000004,SE,Industrial
2010,SP,215849387.6,1294695991.0,12514360.909999996,SP,Industrial
2010,TO,2843318.0,16404814.0,1304745.6000000008,TO,Residencial
2011,AC,1455743.72,8949433.0,194469.08,AC,Residencial
2011,AL,7661087.0,31657324.0,707562.51,AL,Industrial
2011,AM,10170704.0,70734402.0,486962.32000000007,AM,Industrial
2011,AP,1650144.0,9409226.0,186025.97,AP,Residencial
2011,BA,40866720.0,166602807.0,3165828.470000003,BA,Industrial
2011,CE,17066068.0,89695826.0,1145327.58,CE,Residencial
2011,DF,11389702.0,154568954.0,59221.87,DF,Residencial
2011,ES,15548882.0,105976223.0,2182512.27,ES,Industrial
2011,GO,21548406.0,121296722.0,4380984.899999999,GO,Industrial
2011,MA,16836641.0,52143528.0,1148583.3000000005,MA,Industrial
2011,MG,79706013.0,400124688.0,11471096.930000002,MG,Industrial
