ano,uf,soma_produto_interno_bruto,soma_produto_interno_bruto_per_capita
2010,RN,36184501.0,1208142.11
2010,PB,33522490.0,1241073.8199999994
2010,PE,97189752.0,1222282.8800000001
2010,AL,27133035.0,610030.89
2010,SE,26404894.0,828733.2800000004
2010,BA,154419544.0,2914807.9600000023
2010,MG,351123420.0,9610649.31
2010,ES,85310281.0,1505207.64
2010,RJ,449858101.0,2562101.2499999986
2010,SP,1294695991.0,12514360.909999996
2010,PR,225205247.0,6015933.2299999995
2010,SC,153726009.0,5742000.229999996
2010,RS,241249165.0,9459951.88
2010,MS,47270652.0,1553416.7999999998
2010,MT,56600957.0,2308241.1699999985
2010,GO,106770107.0,3913607.6200000006
2010,DF,144174102.0,56252.9
2011,RO,27574713.0,685955.1299999999
2011,AC,8949433.0,194469.07999999996
2011,AM,70734402.0,486962.32000000007
2011,RR,7303718.0,162144.56000000003
2011,PA,98710733.0,1290194.6
2011,AP,9409226.0,186025.97
2011,TO,18345684.0,1496500.2300000004
2011,MA,52143528.0,1148583.3000000005
2011,PI,25941369.0,1215455.8500000006
2011,CE,89695826.0,1145327.58
2011,RN,40992928.0,1391451.329999999
2011,PB,37109139.0,1377719.7699999989
2011,PE,110161562.0,1363686.0299999998
2011,AL,31657324.0,707562.51
2011,SE,29108273.0,890331.2600000005
2011,BA,166602807.0,3165828.470000003
2011,MG,400124688.0,11471096.930000002
2011,ES,105976223.0,2182512.27
2011,RJ,512767901.0,2925668.7399999993
2011,SP,1436672706.0,13656622.33
2011,PR,257122268.0,7010963.790000001
2011,SC,174068321.0,6511671.099999998
2011,RS,265056420.0,10458315.899999993
2011,MS,55133157.0,1738507.67
2011,MT,69153952.0,3028932.71
2011,GO,121296722.0,4380984.8999999985
2011,DF,154568954.0,59221.87
2012,RO,30112721.0,772208.0499999999
2012,AC,10137925.0,214874.25000000003
2012,AM,72242703.0,507820.62999999983
2012,RR,7711468.0,169613.99000000002
2012,PA,107080878.0,1358507.4599999997
2012,AP,11130869.0,208945.27000000002
2012,TO,20684430.0,1660746.8999999997
2012,MA,60490110.0,1310336.1400000008
2012,PI,28637680.0,1320612.869999999
2012,CE,96973750.0,1165573.1600000004
2012,RN,46450299.0,1562594.2099999993
2012,PB,42488343.0,1505996.6900000002
2012,PE,127989042.0,1529294.4700000004
2012,AL,34650396.0,756416.4399999998
2012,SE,32853181.0,984067.7299999997
2012,BA,182572537.0,3535681.68
2012,MG,442282828.0,12647683.85999998
2012,ES,116850585.0,2536474.6100000003
2012,RJ,574884973.0,3232595.8999999994
2012,SP,1559033441.0,14961737.360000005
2012,PR,285620201.0,7820928.770000003
2012,SC,191794656.0,7041678.33
2012,RS,287587015.0,10589558.13
2012,MS,62013199.0,1907580.6500000008
2012,MT,79665685.0,3570787.5300000003
2012,GO,138757833.0,4958674.179999998
2012,DF,164101336.0,61959.36
2013,RO,31121412.0,759418.2599999999
2013,AC,11473929.0,251921.53
2013,AM,83051228.0,556469.4800000001
2013,RR,9010725.0,199177.62000000002
2013,PA,121224851.0,1605849.3600000008
2013,AP,12763485.0,239165.26
2013,TO,23796659.0,1869089.6200000006
2013,MA,67694839.0,1577189.67
2013,PI,31283598.0,1391441.3299999994
2013,CE,109036561.0,1316954.1800000006
2013,RN,51518454.0,1634592.1900000004
2013,PB,46377285.0,1661999.2100000004
2013,PE,141150250.0,1611510.0300000003
2013,AL,37282529.0,808977.0700000001
2013,SE,35335989.0,997598.1999999998
2013,BA,204844273.0,3675788.550000001
2013,MG,488004902.0,13048312.709999979
2013,ES,117274345.0,2377589.49
2013,RJ,628226073.0,3377540.010000001
2013,SP,1715238415.0,16013505.649999993
2013,PR,333481153.0,9211801.069999998
2013,SC,214512250.0,7968345.540000001
2013,RS,332292721.0,13340172.179999994
2013,MS,69203202.0,2169883.41
2013,MT,89212915.0,3836410.950000002
2013,GO,151300180.0,5292215.730000004
2013,DF,175906726.0,63054.41
2014,RO,34030982.0,824587.21
2014,AC,13458696.0,276941.99000000005
2014,AM,86668642.0,583813.7400000001
2014,RR,9744122.0,203559.33
2014,PA,124584945.0,1641611.0099999998
2014,AP,13400286.0,236234.25999999998
2014,TO,26189323.0,2032375.1500000001
2014,MA,76842026.0,1695148.7999999996
2014,PI,37723502.0,1685849.5999999999
2014,CE,126054461.0,1569574.4399999997
2014,RN,54022583.0,1782312.8099999994
2014,PB,52936479.0,1847116.340000001
2014,PE,155142644.0,1794338.2799999998
2014,AL,40974993.0,876931.2599999999
2014,SE,37472428.0,1044300.7800000001
2014,BA,223929965.0,4004883.1699999976
2014,MG,516633991.0,13814537.390000008
2014,ES,128783779.0,2611794.4600000004
2014,RJ,671076847.0,3522474.7500000005
2014,SP,1858196059.0,17898190.580000002
2014,PR,348084197.0,9550102.060000012
2014,SC,242553374.0,8285854.630000002
2014,RS,357816431.0,14055025.929999998
2014,MS,78950135.0,2414152.5
2014,MT,101234522.0,4204643.499999999
2014,GO,165015307.0,5477802.579999999
2014,DF,197432059.0,69216.8
2015,RO,36563334.0,875968.8699999998
2015,AC,13622803.0,283534.1099999999
2015,AM,86568185.0,599605.13
2015,RR,10242903.0,220620.14
2015,PA,130899505.0,1802236.460000001
2015,AP,13861293.0,256628.44000000003
2015,TO,28930288.0,2160265.4299999997
2015,MA,78475993.0,1778050.6499999997
2015,PI,39149681.0,1800468.2800000003
2015,CE,130629849.0,1627304.9299999995
2015,RN,57250865.0,1896726.4700000002
2015,PB,56141893.0,1983125.7999999996
2015,PE,156963672.0,1880099.6699999997
2015,AL,46367211.0,983032.39
2015,SE,38556529.0,1019044.1299999995
2015,BA,245043688.0,4473138.819999998
2015,MG,519331213.0,14010636.770000007
2015,ES,120365980.0,2152949.8200000008
2015,RJ,659138952.0,3143129.049999999
2015,SP,1939901904.0,19277320.710000005
2015,PR,376962826.0,10392734.030000003
2015,SC,249079644.0,8450617.190000003
2015,RS,381992590.0,15374665.400000004
2015,MS,83082560.0,2566843.1500000004
2015,MT,107418326.0,4400180.400000001
2015,GO,173632448.0,5886783.449999996
2015,DF,215612863.0,73970.99
2016,RO,39460358.0,954673.02
2016,AC,13754242.0,301327.03
2016,AM,89039782.0,599216.2099999997
2016,RR,11013236.0,236971.49000000002
2016,PA,138107518.0,1935532.06
2016,AP,14342136.0,269291.58
2016,TO,31584812.0,2290343.1899999995
2016,MA,85310044.0,1901887.0399999998
2016,PI,41416948.0,1827560.0199999982
2016,CE,138422523.0,1741544.8799999994
2016,RN,59677383.0,2009952.9799999993
2016,PB,59104784.0,2116580.630000001
2016,PE,167345029.0,2059097.840000001
2016,AL,49468745.0,1141274.8599999999
2016,SE,38877436.0,966185.0800000001
2016,BA,258738968.0,4645335.590000001
2016,MG,544810475.0,15362194.090000004
2016,ES,109264420.0,1655566.2899999998
2016,RJ,640401206.0,2847608.5699999994
2016,SP,2038757392.0,19945506.820000008
2016,PR,401814167.0,11643442.620000003
2016,SC,256754675.0,9042051.230000002
2016,RS,408789531.0,16809286.419999998
2016,MS,91892284.0,2924092.74
2016,MT,123880298.0,5129901.6099999985
2016,GO,181759608.0,6501036.880000004
2016,DF,235540045.0,79114.19
2017,RO,43516144.0,1052824.05
2017,AC,14272939.0,307036.71
2017,AM,93240190.0,625622.2100000003
2017,RR,12104706.0,255337.74999999997
2017,PA,155232405.0,2262534.2999999993
2017,AP,15481909.0,296958.98
2017,TO,34108132.0,2512899.0600000005
2017,MA,89542756.0,2065963.64
2017,PI,45365544.0,2235178.67
2017,CE,147921537.0,1960410.750000001
2017,RN,64305992.0,2304978.2700000005
2017,PB,62396770.0,2233950.1999999997
2017,PE,181609501.0,2251768.279999999
2017,AL,52851065.0,1298814.5900000003
2017,SE,40711485.0,1032647.3700000001
2017,BA,268724092.0,4720345.069999997
2017,MG,576375558.0,16058129.659999998
2017,ES,113399936.0,1847768.9100000006
2017,RJ,671605668.0,3011027.8900000006
2017,SP,2120761648.0,21173659.20999998
2017,PR,421497864.0,12085281.710000003
2017,SC,277270232.0,9455073.020000001
2017,RS,423270044.0,16846227.85000002
2017,MS,96396428.0,2977894.12
2017,MT,126845895.0,5090570.950000002
2017,GO,191948306.0,6734535.120000004
2017,DF,244722249.0,80515.47
2018,RO,44913978.0,1165079.81
2018,AC,15331124.0,304631.30999999994
2018,AM,100109232.0,681536.43
2018,RR,13369988.0,257881.44999999995
2018,PA,161349601.0,2434374.34
2018,AP,16795207.0,300748.36
2018,TO,35666181.0,2636378.9799999995
2018,MA,98179501.0,2219525.960000002
2018,PI,50378414.0,2501504.64
2018,CE,155903825.0,2011041.9600000002
2018,RN,66969551.0,2472830.480000002
2018,PB,64373599.0,2355451.21
2018,PE,186351982.0,2334853.6200000006
2018,AL,54413051.0,1368309.7899999993
2018,SE,42017982.0,1039644.3599999999
2018,BA,286239537.0,5321390.119999999
2018,MG,614875822.0,17054184.51999999
2018,ES,137020055.0,2337565.2600000007
2018,RJ,758859047.0,3442166.6899999995
2018,SP,2210561953.0,21205354.56000001
2018,PR,440029414.0,12867013.869999992
2018,SC,298227085.0,9905165.090000005
2018,RS,457293960.0,18778602.24000002
2018,MS,106969143.0,3374706.059999999
2018,MT,137442863.0,5391818.490000003
2018,GO,195681726.0,6952070.119999998
2018,DF,254817205.0,85661.39
2019,RO,47091334.0,1194324.0
2019,AC,15630018.0,303250.32999999996
2019,AM,108181093.0,722311.0299999997
2019,RR,14292227.0,271934.61
2019,PA,178376983.0,2604822.1999999993
2019,AP,17496662.0,301889.47000000003
2019,TO,39355940.0,2890365.900000001
2019,MA,97339951.0,2229023.709999999
2019,PI,52780780.0,2604325.0500000007
2019,CE,163575327.0,2137544.840000001
2019,RN,71336785.0,2680719.010000001
2019,PB,67986076.0,2442538.3899999997
2019,PE,197853376.0,2487759.74
2019,AL,58963730.0,1484779.7
2019,SE,44689487.0,1145504.6
2019,BA,293240507.0,5504612.260000005
2019,MG,651872700.0,18254219.099999975
2019,ES,137345595.0,2301379.889999999
2019,RJ,779927918.0,3685819.9799999995
2019,SP,2348337978.0,22296723.209999993
2019,PR,466377044.0,12951355.61999999
2019,SC,323263861.0,10687544.85
2019,RS,482464181.0,19692771.250000034
2019,MS,106943246.0,3275653.750000001
2019,MT,142122023.0,5569037.790000001
2019,GO,208672492.0,7393188.819999999
2019,DF,273613711.0,90742.75
2020,RO,51598745.0,1314692.23
2020,AC,16476370.0,316368.51000000007
2020,AM,116019141.0,749693.6299999999
2020,RR,16024274.0,311250.44999999995
2020,PA,215935606.0,3193924.3700000015
2020,AP,18469113.0,324543.07
2020,TO,43649801.0,3553305.6500000004
2020,MA,106915959.0,2704322.0300000017
2020,PI,56391254.0,3024591.269999999
2020,CE,166914539.0,2305758.74
2020,RN,71577102.0,2868655.099999999
2020,PB,70292033.0,2608527.4800000004
2020,PE,193307315.0,2513395.5799999996
2020,AL,63202345.0,1718767.5700000005
2020,SE,45409655.0,1216682.47
2020,BA,305320810.0,6138327.000000003
2020,MG,682786125.0,20219937.72
2020,ES,138445921.0,2148335.26
2020,RJ,753823712.0,3720735.98
2020,SP,2377638980.0,24606947.60999999
2020,PR,487930595.0,15517467.939999992
2020,SC,349275021.0,11920471.27
2020,RS,470941851.0,20016018.800000004
2020,MS,122627728.0,3985848.1699999995
2020,MT,178649564.0,7640521.9
2020,GO,224126115.0,8325653.849999997
2020,DF,265847334.0,87016.16
2021,RO,58170098.0,1664093.5599999996
2021,AC,21374442.0,480844.44999999995
2021,AM,131531039.0,860976.6800000002
2021,RR,18202580.0,343933.41000000003
2021,PA,262904976.0,4041655.51
2021,AP,20099850.0,339716.49
2021,TO,51780763.0,4584811.469999999
2021,MA,124980727.0,3273307.0599999996
2021,PI,64028312.0,3477464.149999998
2021,CE,194884807.0,2647466.580000001
2021,RN,80180735.0,3323486.0499999984
2021,PB,77470329.0,2919274.6100000013
2021,PE,220813521.0,2849237.2000000007
2021,AL,76265620.0,2088906.93
2021,SE,51861396.0,1405934.5599999998
2021,BA,352617846.0,7139491.230000005
2021,MG,857593211.0,26213904.709999975
2021,ES,186336503.0,3018097.0399999986
2021,RJ,949300764.0,5106215.12
2021,SP,2719751234.0,27457788.099999994
2021,PR,549973060.0,17189476.479999993
2021,SC,428570883.0,14327018.63000002
2021,RS,581283683.0,28571474.080000006
2021,MS,142203764.0,4491709.879999999
2021,MT,233390206.0,10560950.979999995
2021,GO,269627879.0,10193076.219999993
2021,DF,286943782.0,92732.27
