ano,sigla_uf,highest_tipo_consumo
2014,RJ,Residencial
2014,RN,Residencial
2014,RO,Residencial
2014,RR,Residencial
2014,RS,Industrial
2014,SC,Industrial
2014,SE,Industrial
2014,SP,Industrial
2014,TO,Residencial
2015,AC,Residencial
2015,AL,Industrial
2015,AM,Residencial
2015,AP,Residencial
2015,BA,Industrial
2015,CE,Residencial
2015,DF,Residencial
2015,ES,Industrial
2015,GO,Industrial
2015,MA,Residencial
2015,MG,Industrial
2015,MS,Residencial
2015,MT,Residencial
2015,PA,Industrial
2015,PB,Residencial
2015,PE,Residencial
2015,PI,Residencial
2015,PR,Industrial
2015,RJ,Residencial
2015,RN,Residencial
2015,RO,Residencial
2015,RR,Residencial
2015,RS,Industrial
2015,SC,Industrial
2015,SE,Industrial
2015,SP,Industrial
2015,TO,Residencial
2016,AC,Residencial
2016,AL,Industrial
2016,AM,Residencial
2016,AP,Residencial
2016,BA,Industrial
2016,CE,Residencial
2016,DF,Residencial
2016,ES,Industrial
2016,GO,Industrial
2016,MA,Residencial
2016,MG,Industrial
2016,MS,Residencial
2016,MT,Residencial
2016,PA,Industrial
2016,PB,Residencial
2016,PE,Residencial
2016,PI,Residencial
2016,PR,Industrial
2016,RJ,Residencial
2016,RN,Residencial
2016,RO,Residencial
2016,RR,Residencial
2016,RS,Industrial
2016,SC,Industrial
2016,SE,Industrial
2016,SP,Industrial
2016,TO,Residencial
2017,AC,Residencial
2017,AL,Industrial
2017,AM,Residencial
2017,AP,Residencial
2017,BA,Industrial
2017,CE,Residencial
2017,DF,Residencial
2017,ES,Industrial
2017,GO,Industrial
2017,MA,Residencial
2017,MG,Industrial
2017,MS,Residencial
2017,MT,Residencial
2017,PA,Industrial
2017,PB,Residencial
2017,PE,Residencial
2017,PI,Residencial
2017,PR,Industrial
2017,RJ,Residencial
2017,RN,Residencial
2017,RO,Residencial
2017,RR,Residencial
2017,RS,Industrial
2017,SC,Industrial
2017,SE,Industrial
2017,SP,Industrial
2017,TO,Residencial
2018,AC,Residencial
2018,AL,Industrial
2018,AM,Residencial
2018,AP,Residencial
2018,BA,Industrial
2018,CE,Residencial
2018,DF,Residencial
2018,ES,Industrial
2018,GO,Industrial
2018,MA,Residencial
2018,MG,Industrial
2018,MS,Residencial
2018,MT,Residencial
2018,PA,Industrial
2018,PB,Residencial
2018,PE,Residencial
2018,PI,Residencial
2018,PR,Industrial
2018,RJ,Residencial
2018,RN,Residencial
2018,RO,Residencial
2018,RR,Residencial
2018,RS,Industrial
2018,SC,Industrial
2018,SE,Industrial
2018,SP,Industrial
2018,TO,Residencial
2019,AC,Residencial
2019,AL,Residencial
2019,AM,Residencial
2019,AP,Residencial
2019,BA,Industrial
2019,CE,Residencial
2019,DF,Residencial
2019,ES,Industrial
2019,GO,Industrial
2019,MA,Residencial
2019,MG,Industrial
2019,MS,Residencial
2019,MT,Residencial
2019,PA,Industrial
2019,PB,Residencial
2019,PE,Residencial
2019,PI,Residencial
2019,PR,Industrial
2019,RJ,Residencial
2019,RN,Residencial
2019,RO,Residencial
2019,RR,Residencial
2019,RS,Industrial
2019,SC,Industrial
2019,SE,Residencial
2019,SP,Industrial
2019,TO,Residencial
2020,AC,Residencial
2020,AL,Residencial
2020,AM,Residencial
2020,AP,Residencial
2020,BA,Industrial
2020,CE,Residencial
2020,DF,Residencial
2020,ES,Industrial
2020,GO,Industrial
2020,MA,Residencial
2020,MG,Industrial
2020,MS,Residencial
2020,MT,Residencial
2020,PA,Industrial
2020,PB,Residencial
2020,PE,Residencial
2020,PI,Residencial
2020,PR,Industrial
2020,RJ,Residencial
2020,RN,Residencial
2020,RO,Residencial
2020,RR,Residencial
2020,RS,Industrial
2020,SC,Industrial
2020,SE,Residencial
2020,SP,Industrial
2020,TO,Residencial
2021,AC,Residencial
2021,AL,Residencial
2021,AM,Residencial
2021,AP,Residencial
2021,BA,Industrial
2021,CE,Residencial
2021,DF,Residencial
2021,ES,Industrial
2021,GO,Industrial
2021,MA,Residencial
2021,MG,Industrial
2021,MS,Residencial
2021,MT,Residencial
2021,PA,Industrial
2021,PB,Residencial
2021,PE,Residencial
2021,PI,Residencial
2021,PR,Industrial
2021,RJ,Residencial
2021,RN,Residencial
2021,RO,Residencial
2021,RR,Residencial
2021,RS,Industrial
2021,SC,Industrial
2021,SE,Residencial
2021,SP,Industrial
2021,TO,Residencial
